Intance Number,Problem Type (SED / SGD / DGS),VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
121,20_10_20_1,900907,900907,906599,900697,906599,893220,900907,900907,906599,900697,893220,893220,893220,893220,903390,893220,893220,893220,893220,893220,900741,900741,901250,893220,893220
122,20_10_20_2,1059437,1059437,1062545,1059075,1059437,1044394,1059437,1059437,1062545,1059075,1044394,1044394,1044394,1044394,1059437,1044394,1044394,1044394,1044394,1044394,1053044,1053302,1054021,1044394,1044394
123,20_10_20_3,1002336,1002336,1002336,1002999,1002336,987692,1002336,1002336,1002336,1002999,987692,987692,987692,987692,1002336,987692,987692,987692,987692,987692,997350,996925,999389,987692,987692
124,20_10_20_4,981810,981810,981810,979600,981810,967151,981810,981810,981810,978220,967151,967151,967151,967151,981810,967151,967151,967151,967151,967151,976141,976141,976141,967151,967151
125,20_10_20_5,956403,956403,955236,948861,956403,939306,956403,956403,955236,948861,939306,939306,939306,939306,956869,939306,939306,939306,939306,939306,946533,946193,947403,939306,939306
126,20_10_20_6,1012001,1012001,1012001,1005019,1013381,994845,1012001,1012001,1012001,1005019,994845,994845,994845,994845,1012001,994845,994845,994845,994845,994845,1005664,1005664,1006794,994845,994845
127,20_10_20_7,1002490,1002490,999606,1002325,999905,990506,1002490,1002490,999606,1001005,990506,990506,990506,990506,1011780,990506,990506,990506,990506,990506,999606,999606,999606,990506,990506
128,20_10_20_8,999785,999785,1001274,996806,1004032,985957,999785,999785,1001274,996806,985957,985957,985957,985957,1000698,985957,985957,985957,985957,985957,997413,999264,997883,985957,985957
129,20_10_20_9,1035508,1035508,1035508,1039164,1035508,1022204,1035508,1035508,1035508,1039164,1022204,1022204,1022204,1022204,1035508,1022204,1022204,1022204,1022204,1022204,1034925,1034925,1034925,1022204,1022204
130,20_10_20_10,987097,987097,984799,982856,984799,971435,987097,987097,984799,981572,971435,971435,971435,971435,992675,971435,971435,971435,971435,971435,985419,985374,985419,971435,971435
131,20_10_100_1,1016543,1016543,961938,943249,1016543,932672,1016543,1016543,961938,943249,932672,932672,932672,932672,996699,932672,932672,932672,932672,932672,975116,1000003,981561,932672,932672
132,20_10_100_2,1030506,1030506,956985,941776,1004029,928864,1030506,1030506,953895,934645,928864,928864,928864,928864,1001795,928864,928864,928864,928864,928864,993120,993120,993120,928864,928864
133,20_10_100_3,1002412,1002412,960430,937868,1011436,931740,1002412,1002412,960430,935351,931740,931740,931740,931740,1028641,931740,931740,931740,931740,931740,1001705,1001705,984409,931740,931740
134,20_10_100_4,1030377,1030377,971142,963864,1030377,958154,1030377,1030377,971142,963864,958154,958154,958154,958154,1043560,958154,958154,958154,958154,958154,1022855,1022855,1022855,958154,958154
135,20_10_100_5,1019370,1019370,963103,954364,1023392,948292,1019370,1019370,963103,954364,948292,948292,948292,948292,1024295,948292,948292,948292,948292,948292,1006398,1003316,1015630,948292,948292
136,20_10_100_6,1037400,1037400,965723,953137,1037400,943018,1037400,1037400,963397,951513,943018,943018,943018,943018,1011786,943018,943018,943018,943018,943018,1011786,1011786,1011786,943018,943018
137,20_10_100_7,943136,943136,911403,899348,959250,894115,943136,943136,911403,899348,894115,894115,894115,894115,1000524,894115,894115,894115,894115,894115,943321,943321,945864,894115,894115
138,20_10_100_8,996792,996792,957430,943932,1010939,936642,996792,996792,957430,941070,936642,936642,936642,936642,1031805,936642,936642,936642,936642,936642,997708,997708,997708,936642,936642
139,20_10_100_9,959702,959702,891004,878723,959702,871702,959702,959702,891004,878723,871702,871702,871702,871702,955233,871702,871702,871702,871702,871702,920720,920016,913488,871702,871702
140,20_10_100_10,1036118,1036118,985196,965797,1037440,958936,1036118,1036176,982580,965797,958936,958936,958936,958936,1063899,958936,958936,958936,958936,958936,1019720,1019720,1020098,958936,958936
141,20_10_500_1,940094,736412,609684,608132,940094,607952,940094,736412,609684,608132,607952,607952,607952,607952,1081541,607952,607952,607952,607952,607952,754374,694094,832885,607952,607952
142,20_10_500_2,772929,681875,597325,595025,772929,594216,772929,681875,597325,595025,594216,594216,594216,594216,1080805,594216,594216,594216,594216,594216,854911,735105,869300,594723,596332
143,20_10_500_3,805446,673780,601653,599063,898312,599063,806769,673780,601653,599063,599063,599063,599063,599063,962778,599063,599063,599063,599063,599063,843184,772959,875614,599628,600458
144,20_10_500_4,867954,728732,620873,618479,867954,618479,842734,705552,618479,618479,618479,618479,618479,618479,972067,618479,618479,618479,618479,618479,896803,846728,993062,625157,627883
145,20_10_500_5,819907,654460,592036,590188,819907,590188,799887,654460,592036,590188,590188,590188,590188,590188,964034,590188,590188,590188,590188,590188,926945,827733,920481,590188,590188
146,20_10_500_6,852095,723348,598713,597801,852095,597801,852095,723348,597801,597801,597801,597801,597801,597801,900507,597801,597801,597801,597801,597801,747536,709988,751727,599959,608519
147,20_10_500_7,799094,638856,556943,556943,799094,556943,799094,638856,556943,556943,556943,556943,556943,556943,987005,556943,556943,556943,556943,556943,788733,762970,884912,556943,567165
148,20_10_500_8,767251,675309,587133,584158,767251,581956,732481,675309,587133,584158,581956,581956,581956,581956,996213,581956,581956,581956,581956,581956,824819,745071,828149,581956,581956
149,20_10_500_9,866390,712287,597526,597526,866390,596590,840297,712287,597526,597526,596590,596590,596590,596590,938949,596590,596590,596590,596590,596590,878312,726442,845616,596590,596590
150,20_10_500_10,803724,681745,598066,596258,803724,595701,803724,681745,598066,596258,595701,595701,595701,595701,980305,595701,595701,595701,595701,595701,870643,734840,815155,610101,610738
151,20_10_1000_1,180202,171102,159263,159263,180202,159263,171102,171102,159263,159263,159263,159263,159263,159263,721151,159263,159263,159263,159263,159263,659135,540498,729570,168767,171947
152,20_10_1000_2,168946,178849,160061,159350,168946,159350,169194,165998,160061,159350,159350,159350,159350,159350,852255,159350,159350,159350,159350,159350,432886,323126,681586,241060,191141
153,20_10_1000_3,300560,256248,242365,242365,300560,240090,272445,252920,242365,240923,240090,240090,240090,240090,624645,240090,240090,240090,240090,240090,458150,430796,647226,246584,245836
154,20_10_1000_4,204622,204622,201738,201126,204622,200922,204622,204622,201126,200922,200922,200922,200922,200922,985359,200922,200922,200922,200922,200922,500054,447868,778851,215555,220617
155,20_10_1000_5,208097,193374,187148,187148,208097,187148,202609,188028,187148,187148,187148,187148,187148,187148,1058547,187148,187148,187148,187148,187148,647098,422995,749799,187540,190235
156,20_10_1000_6,159683,155690,154655,154655,159683,154655,155690,155690,154655,154655,154655,154655,154655,154655,1023900,154655,154655,154655,154655,154655,445374,406265,779306,162122,164064
157,20_10_1000_7,155418,140982,139825,139825,155418,139825,147618,140982,139825,139825,139825,139825,139825,139825,914141,139825,139825,139825,139825,139825,435147,408112,618122,152413,152413
158,20_10_1000_8,248991,248421,238479,238479,248991,238479,248991,239679,238479,238479,238479,238479,238479,238479,1016030,238479,238479,238479,238479,238479,534463,589540,904102,242836,243048
159,20_10_1000_9,198533,187286,178726,178726,198533,178726,192323,181796,178726,178726,178726,178726,178726,178726,696817,178726,178726,178726,178726,178726,341936,401125,609896,181612,200382
160,20_10_1000_10,213799,205066,194382,194382,213799,194382,213799,203247,194382,194382,194382,194382,194382,194382,1095031,194382,194382,194382,194382,194382,416782,389473,638919,200778,207177
165,40_1_20_5,1891765,1891793,1894639,1895363,1892902,1893311,1891201,1890878,1894639,1895363,1892417,1892417,1891504,1891504,1913566,1891504,1891937,1892289,1892955,1892955,1894245,1895687,1892263,1890994,1890779
166,40_1_20_6,2047804,2047668,2048413,2047968,2048499,2048172,2047919,2047632,2048413,2047968,2049395,2049395,2048462,2048462,2072366,2048462,2050094,2049754,2050632,2050632,2048704,2049832,2048762,2049213,2048511
167,40_1_20_7,1960205,1959839,1960553,1960433,1959411,1960009,1958354,1960276,1960553,1960433,1961164,1960804,1959462,1959462,1977810,1959462,1962802,1959668,1961463,1961463,1960563,1960994,1959329,1960169,1959919
170,40_1_20_10,1943408,1943408,1944161,1944622,1944218,1943693,1943396,1943947,1944161,1944622,1944355,1944355,1944145,1944145,1966206,1944145,1944299,1944790,1943851,1943851,1947406,1946772,1944536,1944312,1943451
171,40_1_100_1,1851089,1848796,1851769,1851261,1848907,1854144,1846945,1847056,1850733,1851261,1844517,1844517,1851560,1851560,1886780,1851560,1857376,1857235,1845063,1845063,1852760,1850972,1847908,1848622,1844318
172,40_1_100_2,1815615,1817848,1816470,1818670,1820823,1810870,1815615,1817848,1816470,1818670,1814660,1814660,1811833,1811833,1870433,1811833,1815597,1814813,1815450,1815450,1821642,1818141,1826060,1812752,1811557
